bad
back
bad call
bad spot
below
below the waist
block
block in the back
bullshit
bullshit call
bullshit spot
call
calls
catch
caught
chop
chop block
clean
clip
clipping
collar
defensive pass interference
defensive pi
delay
delay of game
down
dpi
drop
encroachment
face
facemask
false start
flag
flagged
forward lateral
foul
fouls
friendly spot
good
good call
grounding
hand to the face
he was off
he was offsides
hold
holding
horse collar
Horse-collar
horsecollar
how is that
how is that not
illegal
illegal formation
illegal forward pass
illegal hands to the face
illegal motion
illegal shift
illegal sub
Illegal substitution
illegal touching
incomplete
incomplete pass
ineligible
ineligible receiver
infraction
intentional
intentional grounding
interference
kicker
lining up in the neutral
mask
miss
miss that
missed that
missed that call
motion
neutral zone
neutral zone infraction
no
no way that’s
not
not a catch
off
offensive pass interference
offensive pi
official
officials
offsides
opi
pass
passer
penalties
penalty
penalty flag
penalty flags
personal
personal foul
personal fouls
personel
personel foul
personel fouls
pi
ref
referee
referees
refs
roughing
roughing the
roughing the kicker
roughing the passer
roughing the snapper
running into
running into the kicker
shit
shit call
shitty
shitty call
shitty spot
sideline infraction
snapper
spearing
substitution
substitution foul
targeting
targetting
terrible
terribly call
that’s a
that’s not
too many
too many men
too many players
touching
trip
tripping
unecessary
unecessary roughness
unnecessary
unnecessary roughness
unsportsmanlike
unsportsmanlike conduct
