no call
bad call
bad spot
below the waist
block in the back
bullshit call
bullshit spot
call
calls
chop block
clip
clipping
collar
defensive pass interference
defensive pi
delay
delay of game
dpi
encroachment
facemask
false start
flag
flagged
forward lateral
foul
fouls
friendly spot
good call
grounding
hand to the face
hands to the face
he was off
he was offsides
hold
holding
horse collar
Horse-collar
horsecollar
how is that
how is that not
illegal
illegal formation
illegal forward pass
illegal hands to the face
illegal motion
illegal shift
illegal sub
Illegal substitution
illegal touching
incomplete
incomplete pass
ineligible
ineligible receiver
infraction
intentional
intentional grounding
interference
lining up in the neutral
miss
miss that
missed that
missed that call
motion
neutral zone
neutral zone infraction
no way that’s
no-call
not a catch
pis
offensive pass interference
offensive pi
official
officials
offsides
opi
pass interference
passer
penalties
penalty
penalty flag
penalty flags
personal
personal foul
personal fouls
personel
personel foul
personel fouls
pi
ref
referee
referees
refs
roughing
roughing the
roughing the kicker
roughing the passer
roughing the snapper
running into
running into the kicker
shit call
shitty
shitty call
shitty spot
sideline infraction
snapper
spearing
substitution
substitution foul
targeting
targetting
terrible
terribly call
that’s a
that’s not
too many
too many men
too many players
touching
trip
tripping
unecessary
unecessary roughness
unnecessary
unnecessary roughness
unsportsmanlike
unsportsmanlike conduct
pick
pick route
